user_id,username,real_name,email,phone,gender,age,province,city,registration_date,membership_level,total_orders,total_spent,avg_order_value,first_order_date,last_order_date,total_reviews,avg_rating_given,account_age_days
1,user_000001,魏伟,user_000001@gmail.com,17490536678,男,42,重庆,渝北区,2021-08-02,银卡会员,3,878.6,292.87,2025-06-20,2025-08-18,2,3.5,1824
2,user_000002,高红,user_000002@163.com,14203161317,女,29,河南,郑州,2025-12-25,银卡会员,1,26.43,26.43,2026-03-18,2026-03-18,0,0.0,218
3,user_000003,尤洁,user_000003@sina.com,16905340388,女,38,四川,成都,2024-11-11,银卡会员,6,967.2,161.2,2024-11-15,2026-05-24,7,3.7,627
4,user_000004,吕敏,user_000004@qq.com,14331518016,女,15,广东,惠州,2018-10-31,普通会员,1,64.99,64.99,2025-06-05,2025-06-05,1,4.0,2830
5,user_000005,许涛俊,user_000005@163.com,16480236280,男,20,江西,景德镇,2019-11-10,普通会员,2,538.5,269.25,2026-02-27,2026-06-28,1,3.0,2455
6,user_000006,田毅威,user_000006@163.com,19193889531,男,58,辽宁,大连,2020-03-05,普通会员,3,716.92,238.97,2025-11-06,2026-05-14,2,5.0,2339
7,user_000007,曾军鑫,user_000007@sina.com,13543978157,男,51,重庆,江北区,2020-06-30,普通会员,0,0.0,0.0,,,0,0.0,2222
8,user_000008,田晶晶婷,user_000008@gmail.com,14415910660,女,40,上海,徐汇区,2020-09-24,银卡会员,3,940.49,313.5,2024-08-05,2026-06-25,3,3.3,2136
9,user_000009,任秀英,user_000009@gmail.com,17623650460,女,25,广东,惠州,2023-05-06,普通会员,3,889.87,296.62,2025-08-14,2026-05-15,3,3.7,1182
10,user_000010,胡玲,user_000010@outlook.com,14622478922,女,20,江苏,南京,2025-07-24,钻石会员,6,1211.46,201.91,2025-09-26,2026-04-12,5,4.2,372
11,user_000011,蔡彬鹏,user_000011@outlook.com,15182613506,男,18,重庆,渝北区,2019-08-29,普通会员,1,128.44,128.44,2026-02-11,2026-02-11,0,0.0,2528
12,user_000012,黎军,user_000012@gmail.com,14108401579,未知,54,天津,滨海新区,2024-11-11,普通会员,2,241.56,120.78,2025-01-17,2025-07-19,3,4.3,627
13,user_000013,康雯,user_000013@outlook.com,17706298109,女,37,广东,珠海,2020-11-04,金卡会员,10,1442.37,144.24,2025-01-09,2026-06-11,12,4.2,2095
14,user_000014,万俊帅,user_000014@outlook.com,17752686650,男,35,山东,济南,2024-06-05,普通会员,4,1415.03,353.76,2024-08-23,2026-03-16,2,4.0,786
15,user_000015,郭威飞,user_000015@gmail.com,17368168214,男,24,北京,西城区,2019-02-11,普通会员,4,875.61,218.9,2025-06-11,2026-05-08,8,3.9,2727
16,user_000016,郝鹏,user_000016@163.com,13737308714,男,22,江苏,常州,2020-12-07,金卡会员,3,674.47,224.82,2025-05-01,2026-03-23,5,4.4,2062
17,user_000017,钟强新,user_000017@gmail.com,19390390920,男,33,四川,成都,2018-04-24,银卡会员,8,832.93,104.12,2025-03-22,2026-05-27,7,4.4,3020
18,user_000018,雷梅红,user_000018@sina.com,13562607024,女,47,河北,石家庄,2024-11-07,银卡会员,1,117.59,117.59,2026-01-30,2026-01-30,1,4.0,631
